WP_ID,DataType,Date_Assessment_Original,Date_Assessment,Time_Assessment,Temp,pH,SEC,Turbidity,Total_Iron,Titration_1,Titration_2,Volume,N_VALUE,HCO3,Corrected_HCO3,Tryptophan_Probe,Sample_taken,SURVEY_DETAIL_ID,COUNTRY,Comment,Final_HCO3
MMA24,Field,,2016-11-07,10:50:00,27.3,7.29,516.1,1.05,0.091,116.0,117.0,50.0,1.6,284.042423503596,284.042423503596,0.2,Sampled,808,MAL,PVC pipes installed,284.042423503596
MMA25,Field,,2016-11-07,12:55:00,27.2,6.62,144.5,0.38,0.02,293.0,300.0,50.0,0.16,72.2906253809582,72.2906253809582,0.2,Sampled,809,MAL,PVC pipes installed,72.2906253809582
MMA26,Field,,2016-11-08,14:10:00,26.8,6.96,243.3,1.35,0.014,50.0,50.0,50.0,1.6,121.90661952944,121.90661952944,0.5,Sampled,810,MAL,PVC pipes installed,121.90661952944
MMA20,Field,,2016-11-08,,,,,,,,,,,,,,Not Sampled,804,MAL,,
MMA21,Field,,2016-11-08,12:55:00,25.6,6.64,218.9,1.29,0.016,73.0,79.0,50.0,1.6,185.298061684749,185.298061684749,0.1,Sampled,805,MAL,PVC pipes installed,185.298061684749
MMA22,Field,,2016-11-08,14:45:00,25.8,6.1,101.4,10.4,0.037,156.0,160.0,50.0,0.16,38.5224917713032,38.5224917713032,0.2,Sampled,806,MAL,PVC pipes installed,38.5224917713032
MMA18,Field,,2016-11-09,11:50:00,27.1,7.13,325.8,0.37,0.002,67.0,61.0,50.0,1.6,156.040472997684,156.040472997684,0.4,Sampled,802,MAL,PVC pipes installed,156.040472997684
MMA19,Field,,2016-11-09,,,,,,,,,,,,,,Not Sampled,803,MAL,,
MMA15,Field,,2016-11-09,11:05:00,26.2,6.83,230.8,0.61,0.011,51.0,48.0,50.0,1.6,120.687553334146,120.687553334146,0.1,Sampled,799,MAL,PVC pipes installed,120.687553334146
MMA16,Field,,2016-11-09,,,,,,,,,,,,,,NotSampled,800,MAL,,
MMA17,Field,,2016-11-10,,,,,,,,,,,,,,NotSampled,801,MAL,,
MMA12,Field,,2016-11-10,10:47:00,26.8,7.58,810.7,0.18,0.031,119.0,115.0,50.0,1.6,285.261489698891,285.261489698891,0.6,Sampled,796,MAL,PVC pipes installed,285.261489698891
MMA13,Field,,2016-11-10,13:25:00,27.8,7.18,487.0,1.54,0.011,95.0,100.0,50.0,1.6,237.717908082409,237.717908082409,0.5,Sampled,797,MAL,PVC pipes installed,237.717908082409
